title	url	venue	year	reason	dismissed
LightLLM4FDD: Domain-specific lightweight large language models for fault detection and diagnosis in building HVAC systems	https://doi.org/10.1016/j.aei.2026.104794	Advanced Engineering Informatics	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
A review of artificial intelligence in pedestrian evacuation safety: applications, challenges, and future LLM–XAI ecosystems	https://doi.org/10.1016/j.aei.2026.105080	Advanced Engineering Informatics	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Enhancing aviation safety with artificial intelligence: A systematic literature review on recent advances, challenges and future perspectives	https://doi.org/10.1016/j.aei.2026.104378	Advanced Engineering Informatics	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Socio-technical assessment of generative AI integration in architecture, engineering, and construction (AEC) workflows: An empirical study using O*NET occupational taxonomy	https://doi.org/10.1016/j.aei.2026.104392	Advanced Engineering Informatics	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
From closed-set to open-set world: A review of rotating machinery fault diagnosis	https://doi.org/10.1016/j.aei.2026.104867	Advanced Engineering Informatics	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Multi-type and multi-scale geological three-dimensional modeling using entity-relationship networks	https://doi.org/10.1016/j.aei.2026.104436	Advanced Engineering Informatics	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Applications of multimodal large language models in construction industry	https://doi.org/10.1016/j.aei.2025.103909	Advanced Engineering Informatics	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Towards large language model for cognitive industrial mixed reality: A survey	https://doi.org/10.1016/j.aei.2025.104276	Advanced Engineering Informatics	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Artificial intelligence for eco-design: a systematic review	https://doi.org/10.1016/j.aei.2025.103989	Advanced Engineering Informatics	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Evaluation of the relationship between studies of design research and design process in the field of architecture: a systematic review	https://doi.org/10.1017/dsj.2025.10027	Design Science	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Generative artificial intelligence in fifth-generation education systems: A systematic review	https://doi.org/10.1016/j.engappai.2026.114463	Engineering Applications of AI	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
From detection to detoxification: Challenges and solutions for fake news and cyberbullying language governance in the era of large language models	https://doi.org/10.1016/j.engappai.2026.115115	Engineering Applications of AI	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
ScholarLens: Tracking the growing penetration of Large Language Models in scholarly writing and peer review	https://doi.org/10.1016/j.engappai.2026.114988	Engineering Applications of AI	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Large language models-driven fuzzing: A systematic survey	https://doi.org/10.1016/j.engappai.2026.115126	Engineering Applications of AI	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Recent trends of retrieval-augmented generation in healthcare: A systematic review	https://doi.org/10.1016/j.engappai.2026.115912	Engineering Applications of AI	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
